Category,Input,Matched Symbol,Score
setting,a glowing forest,Forests,0.6454763412475586
symbol,a black cat with golden eyes,Cat Eyes,0.5984247922897339
feeling,melancholy,Sadness,0.726984977722168
metaphor,a search for identity,Identity,0.6956846714019775
creative_spark,a short story idea,Story,0.5147964954376221
user_action,open the red door,Door,0.6489484310150146
setting,an abandoned subway station,Abandoned House,0.6279581189155579
symbol,a clock with no hands,Clock,0.6871187090873718
feeling,awe,Beautiful,0.5296643376350403
metaphor,a confrontation with the past,History,0.6164911389350891
creative_spark,a painting concept,Painting-Artwork,0.760295569896698
user_action,climb the endless staircase,Spiral Staircase,0.7450755834579468
setting,a floating city,Floating,0.5986570119857788
symbol,a singing tree,Christmas Tree,0.6287487149238586
feeling,confusion,Confused,0.898148238658905
metaphor,letting go of control,Control,0.6566088199615479
creative_spark,a melody fragment,Musical Notes,0.47931018471717834
user_action,speak to the tree,Tree Trunk,0.568034291267395
setting,a desert lit by a green moon,Desert,0.5892772674560547
symbol,a mirror that shows childhood memories,Mirror,0.5043054819107056
feeling,peace,Peace,1.0
metaphor,rediscovering joy,Joy,0.7401633858680725
creative_spark,a stage play setting,Play (Theatrical),0.7891461849212646
user_action,follow the cat,Following,0.5883182287216187
setting,a vast library with no exit,Library,0.638824999332428
symbol,a red door,Door,0.7528484463691711
feeling,nostalgia,Memories,0.7317900657653809
metaphor,the weight of memory,Computer Memory,0.6298461556434631
creative_spark,a poem line,Poem,0.749528706073761
user_action,look into the mirror,Mirror,0.5702745914459229
setting,a mountain made of glass,Sea Glass,0.628537654876709
symbol,a floating candle,Candles,0.6703036427497864
feeling,fear,Fear,1.0000001192092896
metaphor,facing inner fears,Fear,0.5869678854942322
creative_spark,a character sketch,Drawing,0.561778724193573
user_action,turn the page of the journal,Journal,0.6448619365692139
setting,a frozen ocean,Ocean,0.6663285493850708
symbol,a staircase leading into the clouds,Spiral Staircase,0.637496292591095
feeling,liberation,Freedom,0.704184889793396
metaphor,a cycle breaking,Break Pedal,0.506173312664032
creative_spark,a dream journal entry,Remembering Dreams,0.5624043941497803
user_action,walk into the fog,Fog,0.7295925617218018
setting,a city with no people,City,0.530882716178894
symbol,an old photograph,Photographs,0.5938019752502441
feeling,anticipation,Waiting,0.5350817441940308
metaphor,creative rebirth,Creativity,0.6292433738708496
creative_spark,a game design concept,Games,0.4817127287387848
user_action,touch the candle flame,Flame,0.6434893012046814
setting,a maze of mirrors,Maze,0.6210330128669739
symbol,a locked journal,Journal,0.655047595500946
feeling,longing,Longing,1.0
metaphor,time standing still,Time,0.5182105302810669
creative_spark,a sci-fi script hook,Hookie,0.39172112941741943
user_action,ask the shadow a question,Shadows,0.6812774538993835
setting,a house with infinite rooms,Rooms,0.6733208298683167
symbol,a falling star,Falling,0.5791785717010498
feeling,curiosity,Desire,0.6040470004081726
